연도,회담분야,회담명,개최회담,개최국가,개최지역,개최시설,회담시작일자,회담종료일자,회담일수
1992,정치,남북고위급회담 군사분과위원회 회의,남북고위급회담 군사분과위원회 제3차 회의,중립,판문점 북측,통일각,1992-04-30,1992-04-30,1
1992,정치,남북고위급회담 군사분과위원회 회의,남북고위급회담 군사분과위원회 제4차 회의,중립,판문점 북측,통일각,1992-05-25,1992-05-25,1
1992,정치,남북고위급회담 군사분과위원회 회의,남북고위급회담 군사분과위원회 제5차 회의,중립,판문점 북측,통일각,1992-06-19,1992-06-19,1
1992,정치,남북고위급회담 군사분과위원회 회의,남북고위급회담 군사분과위원회 제6차 회의,중립,판문점 남측,평화의집,1992-07-16,1992-07-16,1
1992,정치,남북고위급회담 군사분과위원회 회의,남북고위급회담 군사분과위원회 제7차 회의,중립,판문점 남측,평화의집,1992-08-26,1992-08-26,1
1992,정치,남북고위급회담 군사분과위원회 회의,남북고위급회담 군사분과위원회 제8차 회의,중립,판문점 북측,통일각,1992-09-05,1992-09-05,1
1992,정치,남북고위급회담 교류·협력분과위원회 회의,남북고위급회담 교류·협력분과위원회 제1차 회의,중립,판문점 남측,평화의집,1992-03-18,1992-03-18,1
1992,정치,남북고위급회담 교류·협력분과위원회 회의,남북고위급회담 교류·협력분과위원회 제2차 회의,중립,판문점 북측,통일각,1992-04-18,1992-04-18,1
1992,정치,남북고위급회담 교류·협력분과위원회 회의,남북고위급회담 교류·협력분과위원회 제3차 회의,중립,판문점 남측,평화의집,1992-04-27,1992-04-27,1
1992,정치,남북고위급회담 교류·협력분과위원회 회의,남북고위급회담 교류·협력분과위원회 제4차 회의,중립,판문점 북측,통일각,1992-05-30,1992-05-30,1
1992,정치,남북고위급회담 교류·협력분과위원회 회의,남북고위급회담 교류·협력분과위원회 제5차 회의,중립,판문점 남측,평화의집,1992-06-26,1992-06-26,1
1992,정치,남북고위급회담 교류·협력분과위원회 회의,남북고위급회담 교류·협력분과위원회 제6차 회의,중립,판문점 북측,통일각,1992-07-28,1992-07-28,1
1992,정치,남북고위급회담 교류·협력분과위원회 회의,남북고위급회담 교류·협력분과위원회 제7차 회의,중립,판문점 남측,평화의집,1992-09-03,1992-09-03,1
1992,정치,남북고위급회담 핵통제공동위원회 회의,남북고위급회담 핵통제공동위원회 제1차 회의,중립,판문점 북측,통일각,1992-03-19,1992-03-19,1
1992,정치,남북고위급회담 핵통제공동위원회 회의,남북고위급회담 핵통제공동위원회 제2차 회의,중립,판문점 남측,평화의집,1992-04-01,1992-04-01,1
1992,정치,남북고위급회담 핵통제공동위원회 회의,남북고위급회담 핵통제공동위원회 제3차 회의,중립,판문점 북측,통일각,1992-04-21,1992-04-21,1
1992,정치,남북고위급회담 핵통제공동위원회 회의,남북고위급회담 핵통제공동위원회 제4차 회의,중립,판문점 남측,평화의집,1992-05-12,1992-05-12,1
1992,정치,남북고위급회담 핵통제공동위원회 회의,남북고위급회담 핵통제공동위원회 제5차 회의,중립,판문점 북측,통일각,1992-05-27,1992-05-27,1
1992,정치,남북고위급회담 핵통제공동위원회 회의,남북고위급회담 핵통제공동위원회 제6차 회의,중립,판문점 남측,평화의집,1992-06-30,1992-06-30,1
1992,정치,남북고위급회담 핵통제공동위원회 회의,남북고위급회담 핵통제공동위원회 제7차 회의,중립,판문점 북측,통일각,1992-07-21,1992-07-21,1
1992,정치,남북고위급회담 핵통제공동위원회 회의,남북고위급회담 핵통제공동위원회 제8차 회의,중립,판문점 남측,평화의집,1992-08-31,1992-08-31,1
1992,정치,남북고위급회담 핵통제공동위원회 회의,남북고위급회담 핵통제공동위원회 제9차 회의,중립,판문점 북측,통일각,1992-10-22,1992-10-22,1
1992,정치,남북고위급회담 핵통제공동위원회 회의,남북고위급회담 핵통제공동위원회 제10차 회의,중립,판문점 남측,평화의집,1992-11-18,1992-11-18,1
1992,정치,남북고위급회담 핵통제공동위원회 회의,남북고위급회담 핵통제공동위원회 제11차 회의,중립,판문점 북측,통일각,1992-11-27,1992-11-27,1
1992,정치,남북고위급회담 핵통제공동위원회 회의,남북고위급회담 핵통제공동위원회 제12차 회의,중립,판문점 남측,평화의집,1992-12-10,1992-12-10,1
1992,정치,남북고위급회담 핵통제공동위원회 회의,남북고위급회담 핵통제공동위원회 제13차 회의,중립,판문점 북측,통일각,1992-12-17,1992-12-17,1
1992,정치,남북고위급회담 교류·협력분과위원회 위원접촉,남북고위급회담 교류·협력분과위원회 제1차 위원접촉,중립,판문점 중립,중감위회의실,1992-03-25,1992-03-25,1
1992,정치,남북고위급회담 교류·협력분과위원회 위원접촉,남북고위급회담 교류·협력분과위원회 제2차 위원접촉,중립,판문점 중립,중감위회의실,1992-04-02,1992-04-02,1
1992,정치,남북고위급회담 교류·협력분과위원회 위원접촉,남북고위급회담 교류·협력분과위원회 제3차 위원접촉,중립,판문점 중립,중감위회의실,1992-04-10,1992-04-10,1
1992,정치,남북고위급회담 교류·협력분과위원회 위원접촉,남북고위급회담 교류·협력분과위원회 제4차 위원접촉,중립,판문점 중립,중감위회의실,1992-04-28,1992-04-28,1
1992,정치,남북고위급회담 교류·협력분과위원회 위원접촉,남북고위급회담 교류·협력분과위원회 제5차 위원접촉,중립,판문점 중립,중감위회의실,1992-08-10,1992-08-10,1
1992,정치,남북고위급회담 교류·협력분과위원회 위원접촉,남북고위급회담 교류·협력분과위원회 제6차 위원접촉,중립,판문점 중립,중감위회의실,1992-08-21,1992-08-21,1
1992,정치,남북고위급회담 정치분과위원회 위원접촉,남북고위급회담 정치분과위원회 제1차 위원접촉,중립,판문점 중립,중감위회의실,1992-04-29,1992-04-29,1
1992,정치,남북고위급회담 정치분과위원회 위원접촉,남북고위급회담 정치분과위원회 제2차 위원접촉,중립,판문점 중립,중감위회의실,1992-07-18,1992-07-18,1
1992,정치,남북고위급회담 정치분과위원회 위원접촉,남북고위급회담 정치분과위원회 제3차 위원접촉,중립,판문점 중립,중감위회의실,1992-07-30,1992-07-30,1
1992,정치,남북고위급회담 정치분과위원회 위원접촉,남북고위급회담 정치분과위원회 제4차 위원접촉,중립,판문점 중립,중감위회의실,1992-08-05,1992-08-05,1
1992,정치,남북고위급회담 정치분과위원회 위원접촉,남북고위급회담 정치분과위원회 제5차 위원접촉,중립,판문점 중립,중감위회의실,1992-08-19,1992-08-19,1
1992,정치,남북고위급회담 핵통제공동위원회 위원접촉,남북고위급회담 핵통제공동위원회 제1차 위원접촉,중립,판문점 중립,중감위회의실,1992-05-15,1992-05-15,1
1992,정치,남북고위급회담 핵통제공동위원회 위원접촉,남북고위급회담 핵통제공동위원회 제2차 위원접촉,중립,판문점 중립,중감위회의실,1992-05-20,1992-05-20,1
1992,정치,남북고위급회담 핵통제공동위원회 위원접촉,남북고위급회담 핵통제공동위원회 제3차 위원접촉,중립,판문점 중립,중감위회의실,1992-05-23,1992-05-23,1
1992,정치,남북고위급회담 핵통제공동위원회 위원접촉,남북고위급회담 핵통제공동위원회 제4차 위원접촉,중립,판문점 중립,중감위회의실,1992-09-19,1992-09-19,1
