년대,날짜,내용
2010년대,2014-03-06,"북적 통지문, 남북적십자실무접촉제의에 대한 입장 - 이산가족 상봉정례화와 같은 중대한 인도적 문제는 남북적십자간 협의로 해결될 성격의 문제가 아니라고 언급"
2010년대,2014-03-07,"한적 통지문, 남북적십자 실무접촉에 대한 호응 촉구"
2010년대,2014-03-28,대통령 드레스덴 선언(이산가족 상봉 정례화등 평화통일을 위한 3대 제안 발표)
2010년대,2014-04-06,"여수해역에 침몰한(4.4) 몽골 화물선의 北 선원 구조 관련, 구조 선원(3명) 및 인양 시신(2구)을 판문점을 통해 북측에 송환"
2010년대,2014-05-30,"北 최고재판소, 억류 중인 김정욱 선교사에 무기노동교화형 언도"
2010년대,2014-06-01,"통일부 대변인, 김정욱 선교사 무기노동교화형 언도(5.30) 유감 표명 및 조속한 석방과 송환 요구"
2010년대,2014-06-03,"동해상 표류 北 선박 관련, 구조된 3명의 선원 중 귀환의사를 밝힌 1명을 판문점을 통해 송환"
2010년대,2014-06-10,"南 통지문, 김정욱 선교사 억류 및 일방적 무기노동교화형 선고 유감 표명 문제협을 위한 실무접촉(6.17) 개최 제의"
2010년대,2014-06-16,"동해상 표류 北 선박(6.13) 관련, 귀환의사를 밝힌 구조 선원 5명 모두를 판문점을 통해 북측에 송환"
2010년대,2014-07-28,"북적 통지문, 7.27 우리측 주민으로 보이는 변사체 발견, 7.30 판문점을 통해 인도할 것임을 통보"
2010년대,2014-08-11,"南 통지문(남북고위급접촉 남측 수석대표 → 북측 단장), 제2차 남북고위급접촉 8.19 판문점 북측 통일각 개최 제의, 추석 계기 이산가족 상봉 문제를 비롯한 쌍방의 관심사항을 논의하자는 의사 전달"
2010년대,2014-08-18,"통일부 대변인 성명, 남북고위급접촉 개최 호응 촉구"
2010년대,2014-11-09,"정부, 억류 미국인 석방을 환영하며, 북한이 김정욱 선교사 석방·이산가족 상봉 등 남북간 인도주의적 문제 해결에도 적극 호응해 나올 것을 촉구(외교부 대변인 논평)"
2010년대,2014-11-23,"정부, 독도 근해 표류중인 북한어선 구조(11.26 북측에 인계)"
2010년대,2014-12-23,"정부, 독도 근해서 표류하다 구조(12.19)된 北 어선을 북측으로 송환"
2010년대,2014-12-26,"北, 불법 입북한 우리측 주민을 판문점을 통해 인도"
2010년대,2014-12-29,"통일준비위원회, 내년 1월 중 이산가족 문제 등 남북간 상호 관심사에 대한 대화를 가질 것을 제안"
2010년대,2015-01-12,"대통령 신년기자회견, 광복 70주년을 맞아 남북관계 발전·평화통일 기반 구축의지 천명"
2010년대,2015-01-20,北 정부·정당·단체 연합회의 개최. ‘체제대결 추구 중단’ 등을 주장하며 ‘고위급 접촉 재개 및 부문별 회담 가능성’ 등을 언급한 호소문을 채택 - 청와대·국회의장·새누리당·새정치민주연합·한적 등 5개 기관 앞으로 호소문 발송(1.21)
2010년대,2015-01-23,"북 조평통 대변인 담화, 이산가족 상봉을 위해 5.24 조치 해제 주장"
2010년대,2015-01-23,"정부, 북한의 5.24조치와 이산가족 상봉의 연계에 유감 표명"
2010년대,2015-02-19,"통일부장관, 이산가족 망향경모제 계기 북한에 이산가족 및 국군포로·납북자문제 해결 위한 대화·실천 강조"
2010년대,2015-02-23,"정부, 동해상에서 구조(2.12)한 北 주민(2명)을 판문점을 통해 송환"
2010년대,2015-03-26,"北, 우리 국민 2명(김국기·최춘길)을 간첩이라고 주장하며 3.26 인민문화궁전에서 내외신 기자회견 개최"
2010년대,2015-03-27,"정부, 북한의 우리 국민 억류 및 북한의 주장에 유감을 표하며 우리 국민의 즉각 송환 등을 촉구(통일부 대변인 성명)"
2010년대,2015-04-02,"北 조평통 대변인 담화, 우리 국민 억류를 거듭 간첩 사건으로 왜곡 주장하면서 ‘무자비한 처단’ 위협"
2010년대,2015-04-03,"정부, 북한의 간첩 날조 비판, 억류 국민 송환 재차 촉구(통일부 대변인 논평)"
2010년대,2015-05-02,"北, 주원문(우리국민이자 美 영주권자/ 21, 뉴욕대 학생) 체포사실 공개(‘비법입북’ 주장)"
2010년대,2015-05-04,"통일부, 억류된 우리 국민(주원문씨 등 4인)의 석방을 촉구성명"
2010년대,2015-05-14,"박근혜 대통령, 이북도민 대표단 간담회 개최, 평화통일시대 노력 강조"
2010년대,2015-05-21,"북적, 대변인 담화, 대통령의 이산가족 상봉 재개 촉구에 대해 비난"
2010년대,2015-05-22,"정부, 북적 대변인 담화 관련 인도적 사안인 이산가족 문제를 정치·군사적 사안과 연계한 것에 대해 유감을 표명하고 중단할 것을 촉구(통일부 대변인 브리핑)"
2010년대,2015-06-12,"北, 우리 국민 억류 및 석방·송환을 요구하는 우리 정부의 대북통지문 접수 거부"
2010년대,2015-06-17,"北, 우리 국민 2명 판문점을 통해 송환"
2010년대,2015-06-18,"정부, 표류 北 선박 1척·선원 5명 (6.16 울릉도 근해 구조)을 북측으로 송환"
2010년대,2015-06-23,"北, 억류된 우리 국민(김국기, 최춘길)에 무기노동교화형선고"
2010년대,2015-06-23,"정부, 북한이 우리 국민(김국기, 최준길)에 무기노동교화형을 선고한 것에 유감 표명, 김정욱, 주원문씨를 포함한 억류 국민 석방·송환 촉구(통일부 대변인"
2010년대,2015-07-08,"北 우리민족끼리, 구조(7.4 동해상)된 北 선원 송환(5명 중 2명 송환, 3명 귀순의사 표명)관련 전원송환을 요구하며 그렇지 않을 경우 단호한 대응 조치 위협"
2010년대,2015-07-08,"정부, 北 선원(7.4 동해상구조) 송환관련 귀순의사 3명 제외한 2명 송환 입장 재확인(통일부 대변인 브리핑)"
2010년대,2015-07-10,"北, 구조 선원 중 2명 송환에 대해 비난하며, 귀순의사를 밝힌 3명에 대한 인적사항 통보 및 가족 면담 조치 요구"
2010년대,2015-07-10,"정부, 북한의 전원송환 주장 및 귀순의사를 밝힌 3명에 대한 인적사항 통보·가족면회 조치 요구에 대해 국제적 관례 등을 볼 때 적절치 않다는 입장 표명"
2010년대,2015-07-14,"정부, 北 선원 2명(7.4 동해상 구조, 귀순 의사를 표명한 3명 제외)을 판문점을 통해 송환"
2010년대,2015-07-14,"北, 억류중인 주원문씨 기자회견 진행"
2010년대,2015-07-14,"北赤 중앙위 대변인 성명, 표류된 北 선원 5명 중 귀순의사를 밝힌 3명을 강제억류 하고 있다고 비난"
2010년대,2015-07-26,"통일부장관, KBS 일요진단 출연 계기 북한에 남북대화 호응을 촉구학고 금강산 관광 재개, 이산가족 상봉 등 현안 관련 정부입장 설명"
2010년대,2015-08-22,남북 고위당국자접촉(8.22 ~ 24) 개최 - 이산가족 상봉행사 개최 및 적십자 실무접촉 9월초 개최 합의
2010년대,2015-08-28,"한적 통지문, 남북적십자실무접촉 9.7 개최 제의"
2010년대,2015-08-29,"북적 통지문, 우리측 남북적십자실무접촉 개최 제의에 동의"
2010년대,2015-09-07,"남북 적십자 실무접촉 개최(9.7 ~ 8, 판문점 ‘평화의 집’)"
2010년대,2015-09-15,"남북, 이산가족 생사확인 의뢰서 교환"
2010년대,2015-09-16,이산가족 상봉을 위한 금강산 시설 점검 실시(9.16 ~ 17)
2010년대,2015-09-25,"北, 억륙된 우리 국민(주원문)의 내외신 기자회견 진행(평양)"
2010년대,2015-10-05,"북적 통지문, 北 억류국민(주원문)을 오후 5시에 인도할 것을 통보"
2010년대,2015-10-05,"한적 통지문, 주원문씨를 돌려보내는 것에 대해 환영하며 우리측 시간 5시 30분에 관계자를 판문점으로 보내겠다고 통보"
2010년대,2015-10-05,주원문씨 판문점을 통해 송환
2010년대,2015-10-08,"남북, 이산가족 상봉행사 최종 명단 교환"
2010년대,2015-10-20,"제20차 이산가족 상봉행사(10.20 ~ 26, 금강산)"
2010년대,2015-11-05,"통일준비위원회, 6차회담 개최 (박근혜 대통령, 이산가족 근본적 과제 조속해결 강조)"
2010년대,2015-11-17,"북적 통지문, 北 억류국민 이모씨를 오후 4시에 인도하겠다고 통보"
2010년대,2015-11-17,"한적 통지문, 이모씨의 신병 인수관계자를 판문점으로 보내겠다고 통보"
2010년대,2015-11-17,북한에 억류되었던 우리 국민 이모씨 판문점을 통해 송환
2010년대,2016-01-05,"대통령, 국무회의에서 남북관계 정상화 의지 강조"
2010년대,2016-01-20,"정부, 이산가족 문제 해결 지속적 노력 표명(통일부 대변인 정례브리핑)"
2010년대,2016-04-01,"北, 박 대통령 재직 중 인도주의적 교류 불가 천명(북적 대변인 담화)"
2010년대,2016-04-01,"정부, 北 인도적 교류 중단 일방 선언(4.1) 강력 규탄(통일부 대변인 논평)"
2010년대,2016-06-23,"통일부·대한적십자사, 이산가족 초청 행사 개최(충북지역 117명)"
2010년대,2016-06-27,"북, 광복절 전후로 평양이나 개성에서 ‘연석회의’를 개최할 것을 제안(북 조선반도의 평화와 자주통일을 위한 북,남,해외 제정당, 단체, 개별인사들의 연석회의 북측 준비위원회 공개편지)"
2010년대,2016-06-28,"정부, 북 연석회의 제의 공개편지(6.7) 관련 ‘진정성 없는 통일전선 공세’로 규정하고 북한의 비핵화가 우선이라는 입장을 거듭 확인"
2010년대,2016-07-16,"대통령, 북한 인권문제와 핵 문제에 대한 근본적인 해결책은 결국 한반도 통일이라고 역설하고 각국 정상의 지지와 협조를 요청(ASEM 정상회의 자유토론 세션 발언)"
2010년대,2016-07-19,"북, 우리측에 ‘전민족적인 통일대회합 개최에 합류해야 할 것’이라고 주장(남, 북, 해외 제정당, 단체, 개별인사들의 연석회의 북측준비위 공보)"
2010년대,2016-07-26,"통일부장관, 제재와 압박으로 북한의 비핵화를 유도한다는 현 대북정책 기조 유지에 대한 의지 강조(기자간담회)"
2010년대,2016-08-02,"북, 연석회의 준비사업이 남 당국의 방해와 남측 준비위원회 미결성으로 개최가 어려움을 강변(‘민족대회합 연석회의’ 북측준비위원회 협의회)"
2010년대,2016-08-15,"대통령, 통일국가 비전을 제시하면서 ‘북한당국’에 올바른 태도변화를 촉구, 북한주민들에게 희망의 메시지를 전하고, 통일노력에 동참할 것을 요청(제71주년 광복절 경축사)"
2010년대,2016-08-16,"북, 대통령의 광복절 경축사에 대해 맹비난하고 위협(북 조국평화통일위원회 대변인 담화)"
2010년대,2016-08-18,"북, 대통령 광복절 경축사 등 거론하며 연석회의 개최를 방해하는 것이라고 비난(조선반도의 평화와 자주통일을 위한 남, 북, 해외 제정당, 단체, 개별인사들의 연석회의 북측준비위 성명)"
2010년대,2016-08-23,"북, 「8.25합의」 1주년 계기 현재 남북관계 및 한반도 정세에 대해 책임 전가, 비난(북 조국평화통일위원회 대변인 담화)"
2010년대,2016-08-24,"정부, 북한에 「8.25합의」의 진정한 의미를 되새기고, 이제라도 핵 개발과 대남도발을 중단하고 올바르고 진정성 있는 자세로 나올 것을 촉구(「북 조국평화통일위원회 대변인 담화에 대한 정부입장」, 통일부 대변인 정례브리핑)"
2010년대,2016-09-07,"北, 주한미군 철수 주장(北 조국통일민주주의전선 중앙위원회, 「전체 조선 민족에게 보내는 호소문」)"
2010년대,2016-09-07,"정부, 북한의 주한미군 철수 주장(9.7) 관련 한반도 긴장의 근원이 무엇인지 생각해보아야할 것임을 지적하고 비핵화와 민생을 먼저 살피는 올바른 선택의 길로 나올 것을 촉구(통일부 대변인 정례브리핑)"
2010년대,2016-09-07,"北, 남북한과 해외 청년들이 참가하는 ‘조선청년 통일대회합’ 개최를 제안(北 김일성-김정일주의 청년동맹 중앙위원회, 「해내외 전체 청년들에게 보내는 호소문」)"
2010년대,2016-09-08,"정부, 북한의 ‘조선청년 통일대회합’ 개최 제안(9.7) 관련 통일전선 공세라고 일축하고 북한에 비핵화 의지를 행동으로 보이고 국제사회의 올바른 성원으로 나오는 등 진정성 있는 모습부터 보일 것을 촉구(통일부 언론 브리핑)"
2010년대,2016-09-08,"동아시아정상회의, 북한의 핵포기를 촉구하는 「비확산 성명」 최초 채택(제11차 동아시아정상회의)"
2010년대,2016-09-20,"반기문 사무총장, 북한 지도자들에 북한 주민과 국제사회에 대한 책무를 다할 것을 촉구(제71차 유엔총회 회원국 정상회의 개막연설)"
2010년대,2016-09-20,"北, 한미일 외교장관 공동성명 관련 비난 및 ‘강력한 대응조치를 다발적, 연발적으로 계속 취해 나갈 것’이라고 위협(北 외무성 대변인 조선중앙통신 기자문답)"
2010년대,2016-09-28,북한인권기록센터 개소
2010년대,2016-10-01,"대통령, 북한에 핵, 경제 병진노선을 포기하지 않을 시 국제적 고립과 경제난 심화 등이 초래될 것임을 경고하는 등 대북메시지 전달(제68주년 국군의 날 기념사)"
2010년대,2016-10-03,"국무총리, 북핵 문제를 해결해 진정한 평화의 시대를 열어야함을 강조(개천절 경축사)"
2010년대,2016-10-03,"北, 대통령 국군의날 기념사 관련 맹렬 비난(北 노동신문 정세논설)"
2010년대,2016-10-10,북한인권기록보존소 개소
2010년대,2016-11-11,"국내 입국 북한이탈주민 3만명 돌파(30,005명)"
2010년대,2016-11-14,"통일부장관, 튼튼한 한미동맹을 바탕으로 한반도 평화통일을 한미 대북정첵의 공동 목표로 삼아, 북한의 비핵화와 변화를 넘어 한반도에서 지속가능한 평화를 실현하도록 협력해 나갈 것임을 강조(한반도 국제포럼 2016 기조연설)"
2010년대,2016-11-17,"北, 한일 군사정보 보호협정 가서명 관련 ‘반민족적 범죄행위’라며 대남비난, 선동(北 아시아태평양평화위원회 대변인 담화)"
2010년대,2016-12-02,"정부, 대북 독자제재 발표(금융 제재대상 신규 추가(개인 36명과 단체 35곳), 해운 통제, 수출입 통제, 출입국 제한 등)"
2010년대,2016-12-18,"통일부장관, 대북정책 기조를 유지하면서 북한의 비핵화를 위해 노력할 것임을 강조(출입기자단 간담회)"
2010년대,2016-12-19,"유엔 총회, 북한 인권 상황을 국제형사재판소(ICC)에 회부하고 인권 유린 책임자를 처벌하도록 권고하는 내용의 결의안 최종 채택"
2010년대,2016-12-23,"김정은, 동북아시아의 현 정세를 비롯한 국제정치와 남한 정세를 설명하고 병진노선의 정당성을 강조(제1차 전당 초급당위원장 대회 개회사)"
2010년대,2017-01-01,"北, 대륙간탄도미사일 시험발사 준비사업이 마감단계에 이르렀다고 주장하고 朴대통령 실명비난(김정은 신년사 발표)"
2010년대,2017-01-01,"정부, 대륙간탄도미사일 시험발사 준비가 마감단계라고 주장(1.1)에 대해 강력 규탄하고 진정성을 가지고 비핵화의 길로 나올 것을 촉구(북한 신년사 관련 통일부 대변인 논평)"
2010년대,2017-01-04,"외교안보부처 합동 2017년 연두업무보고-통일부, ‘북한의 올바른 변화를 통한 북한 비핵화 및 평화통일 기반 구축’ 방안 보고"
2010년대,2017-01-12,"北, 우리 정부에 남북관계 경색의 책임을 전가(北 민족화해협의회 대변인 성명)"
2010년대,2017-01-13,"정부, 北 민족화해협의회 대변인 성명(1.12)에서 남북관계 경색 책임을 우리 정부에 전가한 것에 대해 유감 표명(통일부 대변인 정례브리핑)"
2010년대,2017-01-23,"통일부장관, 북한 비핵화 문제는 평화통일의 관점에서 풀어야함을 강조(서울신문기고)"
2010년대,2017-02-13,김정남 사망(말레이시아 쿠알라룸푸르)
2010년대,2017-02-25,"통일부장관, 북한이 변화해야 살아남을 수 있다는 메시지를 함께 전하고 협력해야 한, 중, 일 상생도 이어질 수 있음을 강조(한국국제정치학회 학술회의 축사)"
2010년대,2017-02-27,"통일부장관, 공포정치로는 살아남을 수 없다는 것을 북한이 깨닫게 해야함을 강조( ‘국민통합을 위한 성경적 통일포럼’ 축사)"
2010년대,2017-02-27,"외교부장관, 국제사회가 북한인권 침해자에 대해 책임을 묻는 것에 집중해야하다고 강조(제34차 유엔인권이사회 고위급 회기 기조연설)"
2010년대,2017-02-28,"외교부장관, 북한 대량살상무기 문제 해결을 위한 국제사회의 단호한 대응 촉구(제네바 군축회의 고위급 회기 기조연설, 스위스 제네바)"
2010년대,2017-03-28,"정부, 2017 국제아이스하키연맹 아이스하키 여자 세계선수권대회 참가를 위한 북한 선수단 방남 신고 승인"
2010년대,2017-04-06,2017 국제아이스하키연맹 여자 아이스하키 세계선수권 남북경기 개최(강릉)
2010년대,2017-04-07,2018 여자축구 아시안컵 예선 남북경기 개최(평양)
2010년대,2017-05-19,"정부, 북한에 한반도 평화와 안정 그리고 남북관계 개선을 위한 우리 정부와 국제사회의 노력에 호응해야할 것임을 강조(통일부 부대변인 정례브리핑)"
2010년대,2017-06-15,"대통령, 역대 남북합의는 정권이 바뀌어도 반드시 존중되어야하는 중요한 자산임을 밝히고, 북한이 핵 포기 결단을 실천한다면 적극 도울 것임을 강조하며 북한의 호응을 촉구(김대중평화센터 6.15 남북정상회담 17주년 기념식 축사)"
2010년대,2017-06-16,"정부, 남북이 함께 6.15공동선언을 존중하고 이행해 나감으로써 한반도 평화와 남북 화해협력 정신을 실천해 나가야 함을 강조(통일부 대변인 논평)"
2010년대,2017-06-23,"北 주도 ITF 태권도 시범단 방남(6.23~7.1, 2017 무주 WTF 세계태권도선수권대회 참가)"
2010년대,2017-06-24,"대통령, 평창동계올림픽 북한 선수단 참여, 남북단일팀 구성, 남북선수단 동시 입장 등 언급(2017 무주 WTF 세계태권도선수권대회 개막식 축사)"
2010년대,2017-07-06,"대통령, ‘베를린 구상’ 발표 - (5대 기조) △당장의 통일이 아닌 한반도의 평화 추구 △북한 체제의 안전을 보장하는 한반도 비핵화 추구 △항구적인 평화체제 구축 △‘한반도 신경제지도’ 구상 추진 △비정치적 교류협력은 정치, 군사적 상황과 분리해 일관되게 지속 - (대북제안) △10.4 계기 이산가족 상봉행사 재개 △평창올림픽에 북한이 참가하여 ‘평화올림픽’ 실현 △한반도 평화와 남북협력을 위한 접촉과 대화 재개"
2010년대,2017-07-17,"대한적십자사, ‘베를린 구상’ 후속조치로 8.1 판문점 우리측 지역 「평화의 집」에서 남북적십자회담을 가질 것을 제의(이산가족 상봉행사를 위한 남북적십자회담 개최 제의, 대한적십자사 회장 직무대행 발표)"
2010년대,2017-07-17,"정부, ‘베를린 구상’ 후속조치로 7.21 판문점 북측지역 「통일각」에서 남북군사당국회담 개최를 북측에 제의(군사분계선에서 일체의 적대행위 중지를 위한 남북군사당국회담 개최 제의,국방부 차관)"
2010년대,2017-07-21,"정부, 남북군사당국회담 제의 관련 북한이 대화에 나설 것을 거듭 촉구(「남북군사당국회담」 제안 관련 국방부 입장)"
2010년대,2017-08-15,"대통령, △북한에 즉각 도발을 중단하고 대화의 장으로 나올 것을 촉구 △이산가족 상봉, 평창올림픽 등 쉬운 일부터 시작할 것을 다시 한 번 북한에 제안(제72주년 광복절 경축사)"
2010년대,2017-08-31,"北, 우리 언론 北 관련 보도에 대해 ‘공화국 모독 특대형 반국가범죄’라며 ‘임의의 시각 임의의 장소에서 추가적인 절차 없이 즉시 집행’ 위협(北 중앙재판소 대변인 담화)"
2010년대,2017-08-31,"정부, 北 중앙재판소 대변인 담화(8.31) 관련, 우리 언론 보도 활동에 대한 북한의 위협에 대해 규탄(통일부 대변인 성명)"
2010년대,2017-09-07,"대통령, ""동북아 국가들이 극동에서 경제협력에 성공하는 모습을 보면 북한도 참여하는 것이 이익임을 깨닫게 될 것""(제3차 동방경제포럼 기조연설, 러시아 블라디보스톡)"
2010년대,2017-09-21,"정부, 유엔아동기금 및 세계식량계획의 「북한 모자보건, 영양지원 사업」에 남북협력기금 지원 결정(제286차 남북교류협력추진협의회 개최)"
2010년대,2017-09-21,"대통령, 유엔총회 기조연설 - ""북한이 스스로 평화의 길을 선택하기를 바람."", ""우발적인 군사적 충돌로 평화가 파괴되는 일이 없도록 북핵문제를 둘러싼 상황을 안정적으로 관리해 나가야 함."", ""한반도에서 유엔의 보다 적극적인 역할이 필요"", ""북한의 평창 동계올림픽 참가를 적극 환영하며 IOC와 함께 노력할 것"""
2010년대,2017-09-26,"대통령, ""10.4 선언 중 많은 것은 지금도 이행 가능"", ""남북이 함께 10.4 선언이 유효함을 선언할 수 있기를 바람.""(10.4 선언 10주년 기념사)"
2010년대,2017-09-28,"대통령, ""긴장고조가 군사적 충돌로 이어지지 않도록 상황을 안정적으로 관리하는데 총력""(국군의 날 기념사)"
2010년대,2017-10-04,"정부, ""이산가족 문제부터 풀어나갈 것을 다시금 북한에 촉구""(통일부장관, 제48회 합동경모대회 격려사)"
2010년대,2017-10-22,"대통령, ""우리 민주주의는 북의 미사일보다 백배 천배 강하다."", ""생사확인, 서신교환, 상봉과 고향 방문이라는 이산가족의 간절한 바람들을 정치적, 군사적 상황과 분리해 풀어가겠다.""(제35회 대통령기 이북도민 체육대회 축사)"
2010년대,2017-10-28,"IOC, 北 평창올림픽 참가시 모든 비용 부담 의사 표명(RFA 보도)"
2010년대,2017-10-31,"대통령, ""북한이 평창을 향해 내딛는 한 걸음은 수백 발의 미사일로도 얻을 수 없는 평화를 향한 큰 진전이 될 것""(제18기 민주평통 전체회의 개회사)"
2010년대,2017-10-31,"정부, ""우리 정부와 미국은 북한의 비핵화를 목표로 하되 비핵화 자체에 대한 의지가 확인되면 그 전에라도 북한과 대화, 협상을 할 수 있다고 보고 (그렇게) 접근하고 있음.""(통일부 장관, 국회 국정감사)"
2010년대,2017-11-01,대통령 ‘한반도 문제 5대원칙’ 표명(국회 시정연설) - △한반도 평화정착 △한반도 비핵화 △남북문제의 주도적 해결 △북핵문제의 평화적 해결 △북한의 도발에 대한 단호한 대응
2010년대,2017-11-03,"北 아태평화위, 현대아산 금강산관광 개시 19주년 행사를 위한 방북 요청에 대해 ""아직은 어렵다""며 거부"
2010년대,2017-11-14,"UN 총회, 「올림픽 휴전 결의」 채택 - 평창동계올림픽 및 패럴림픽 개막 7일 전부터 폐막 7일 뒤까지(‘18.2.2~3.25) UN 헌장의 틀 내에서 올림픽 휴전을 개별적으로, 또한 집단적으로 준수할 것을 촉구"
2010년대,2017-11-14,"통일부, (UN 총회 평창올림픽 휴전결의 관련) ""북한이 조속히 평창올림픽 참가를 확정 짓고, 남북이 만나 평창올림픽을 평화올림픽으로 개최하기 위한 제반 문제들에 대해 허심탄회하게 논의해 나갈 수 있기를 바람."""
2010년대,2017-11-22,최인국씨(故 류미영 北 조선천도교 청우당 위원장 차남) 모친 사망 1주기 추모행사 참석 및 성묘 방문을 위해 방북
2010년대,2017-11-25,"정부, ""북한도 올림픽 가족의 한 회원국으로 정치적 상황과 별도로 평화의 제전인 올림픽에 기여할 책임""(강경화 외교부 장관, 주한외교단과 평창 방문시)"
2010년대,2017-11-29,국립 6.25전쟁 납북자기념관 개관(파주)
2010년대,2017-12-05,"펠트만 UN 사무차장 방북, 北 리용호 외무상 등 면담 - 방북 시 남북채널 재개, 평창올림픽 참가 등을 제안했다고 언급(12.14 언론 인터뷰)"
2010년대,2017-12-07,대통령 직속 북방경제협력위원회 출범
2010년대,2017-12-19,"남북체육교류협회 주관 및 주최, 국제유소년(U-15) 축구대회 개최(중국 쿤밍) - 남, 북, 우즈벡, 중극 등 4개국 6개팀 참가"
2010년대,2018-01-01,"김정은, 2018년 새해 신년사 육성 발표 - △평창동계올림픽 대표단 파견 및 대화 용의 표명 △핵개발 완성의 의미를 강조하며 ""핵 단추가 내 책상 위에 놓여있다"" 주장 △핵, 미사일 대량생산 및 실전배치 강조 △""평화를 사랑하는 책임 있는 핵강국""이라며 핵 선제 불사용, 불위협 언급 등"
2010년대,2018-01-01,"청와대, 北 김정은 위원장이 신년사에서 남북관계 개선의 필요성을 제기하면서, 평창동계올림픽에 대표단을 파견할 용의를 밝히고, 이를 위한 남북 당국간의 만남을 제의한 것을 환영한다는 입장 표명(대변인 논평)"
2010년대,2018-01-02,"통일부장관, 평창동계올림픽 북측 참가 문제 등과 관련한 문제를 협의하기 위해 1.9 판문점 「평화의집」에서 고위급 남북당국회담을 개최할 것을 북측에 제의"
2010년대,2018-01-03,"北 조국평화통일위원회(조평통) 위원장, ‘김정은 위원장 위임에 따라’ 3일 15시 남북간 판문점 연락통로 개통 및 평창 올림픽 실무적 문제 논의 입장 발표(조선중앙TV) - 김정은이 통일전선부 등 관련 기관에 실무적 대책을 시급히 세울 것을 지시했다고 공개"
2010년대,2018-01-03,15:30 판문점 남북연락사무소간 연락채널 재가동 ＊‘16.2.12 중단된지 1년 11개월만에 복원
2010년대,2018-01-04,"한,미, 올림픽 기간 중 한미연합훈련 연기 합의"
2010년대,2018-01-05,"北, 우리측 회담제의(1.2) 수용 통보"
2010년대,2018-01-06,"정부, 회담대표로 조명균 통일부장관 등 5명 통보"
2010년대,2018-01-07,"北, 회담대표로 리선권 조평통 위원장 등 5명 통보"
2010년대,2018-01-09,「남북고위급회담」 개최 및 공동보도문 채택(판문점 남측지역 평화의집)
2010년대,2018-01-09,"北, 「남북고위급회담」시 서해 軍 통신선 복원 사실 공개"
2010년대,2018-01-10,"北, 「남북고위급회담」 진행 및 ‘공동보도문’ 전문 보도(조선중앙방송, 조선중앙통신 등)"
2010년대,2018-01-10,"대통령, 신년사를 통해 남북관계 등 주요 현안에 대한 입장 표명(신년 기자회견) - △임기내 북핵문제 해결 및 평화 공고화 목표 △한반도 비핵화는 양보할 수 없는 기본 입장 △평창올리픽, 패럴림픽을 남북관계 개선과 한반도 평화의 전기로 삼아야 △올해가 한반도 평화의 새로운 원년이 되도록 최선을 다할 것"
2010년대,2018-01-12,"정부, 北 평창올림픽 참가 관련 실무회담(1.15 평화의집) 개최 제의"
2010년대,2018-01-13,"北, 우리측 회담제의(1.12) 관련, 예술단 관련 문제 우선 논의(1.15 통일각) 제안"
2010년대,2018-01-13,"정부, 예술단 관련 문제를 우선 논의하자는 북측의 수정 제의 수용"
2010년대,2018-01-15,「북측 예술단 파견을 위한 남북실무접촉」 개최 및 공동보도문 채택(판문점 북측지역 통일각)
2010년대,2018-01-15,"北, 「남북고위급회담」 실무회담 개최(1.17 평화의집) 수정 제의"
2010년대,2018-01-15,정부 북측의 「남북고위급회담」 실무회담 수정 제의에 동의
2010년대,2018-01-16,"정부, 평창동계올림픽 북한 참가 관련 정부합동지원단 발족"
2010년대,2018-01-17,「남북고위급회담」 실무회담 개최(판문점 남측지역 평화의집)
2010년대,2018-01-19,"北, 우리측에 예술단 파견을 위한 사전 점검단 방남(1.20~21) 통지"
2010년대,2018-01-19,"정부, 北 예술단 파견을 위한 사전 점검단 방남(1.20~21) 동의"
2010년대,2018-01-19,"정부, 북측에 금강산 문화행사 및 마식령스키장 공동훈련 관련 선발대 파견(1.23~25) 통지"
2010년대,2018-01-19,"22시경 北, 우리측에 예술단 파견을 위한 사전 점검단 방남 중지 통지"
2010년대,2018-01-20,"정부, 방남 중지에 대한 유감 표명 및 북측에 예술단 사전 점검단 파견 중지 사유를 알려줄 것을 요청"
2010년대,2018-01-20,"IOC, 바흐 위원장 주재 남북 NOC 및 평창올림픽조직위 4자 협의 개최 및 북한 평창올림픽 참가 최종 승인"
2010년대,2018-01-21,"北, 우리측의 금강산 문화행사 및 마식령스키장 공동훈련 관련 선발대 파견(1.23~25) 동의"
2010년대,2018-01-21,"北, 우리측에 평창 올림픽 참가 관련 선발대 파견(1.25~27) 통지"
2010년대,2018-01-21,"정부, 북측의 평창 올림픽 참가 관련 선발대 파견(1.25~27) 동의"
2010년대,2018-01-21,"北, 예술단 사전 점검단 파견(~22) - 현송월 삼지연관현악단 단장 등 7명, 경의선 육로로 방남"
2010년대,2018-01-22,"대통령, ""남북대화 분위기가 언제까지 지속될지 낙관할 수 없는 상황에서 평창올림픽 이후까지 잘 살려가는 지혜, 노력 필요"" 언급"
2010년대,2018-01-23,"정부, 금강산 문화행사 및 마식령스키장 공동훈련 관련 선발대 北 파견(~25)"
2010년대,2018-01-24,"北, 한미연합훈련 및 전략자산 전개 중단 요구(정부, 정당, 단체 연합회의)"
2010년대,2018-01-25,"北, 평창올림픽 사전점검단(~27) 및 女아이스하키 선수단 경의선 육로로 파견"
