document_id,title,agreement_date,source_url,original_filename,content_empty,warning
agreement:541f260c4af93c1198c1e2e069d78e2de53405bc87e2f65e1e6581797fbeacf7,제4차 남북철도.도로연결 실무접촉 합의서(2003.3.12),2003-03-12,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=84,남북철도.도로연결 제4차 실무접촉 합의서.hwp,False,
agreement:c7fe725573b1deda0739b713e4136cd1efe87ea9653ccf8886b2143252ab8c91,남북철도.도로연결 실무협의회 제2차 회의 합의서(2003.1.25),2003-01-25,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=83,h-080.hwp,False,
agreement:788697c98cfbf12d3ca229b7de34090ba4d862e53b3087ac56f4b5531ff0ed8e,제3차 남북적십자실무접촉 합의서(2003.1.22),2003-01-22,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=105,H-033.hwp,False,
agreement:6ce020a22b03b8d70ed19dbadc7a20d1829b76662e177a582e313ac75b53c734,남북사이 차량의 도로운행에 관한 기본합의서(2002.12.6),2002-12-06,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=116,차량합의서(021206).hwp,False,
agreement:d435f8b97fbb0890d5bdb9c765fcb17e5880b6bc1501b0ec94c6fe35e0cebccb,제2차 남북철도.도로연결 실무접촉 관련 합의서(2002.11.20),2002-11-20,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=81,H-74.hwp,False,
agreement:01dd547b35d8bcc03b9240659c1fbf025dcaaca7ada9a9988cfffe32204078de,남북경제협력추진위원회 제3차 회의 합의문(2002.11.9),2002-11-09,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=76,H-72.hwp,False,
agreement:70985f575a79b257234873681169948987cea8b9e78c5879832688fd3644059e,남북철도.도로연결 실무협의회 제1차 회의 합의서(2002.9.17),2002-09-17,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=4,H-068.hwp,False,
agreement:e8b9d0b7e75addaeda1a0b600714c4bfc1ff5ae9e4fb8b23aae7960852a93e74,남북 철도 및 도로 연결공사 자재·장비 제공에 관한 합의서(2002.9.17),2002-09-17,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=164,남북철도 및 도로 연결공사 자재·장비제공에 관한 합의서.hwp,False,
agreement:d0b4d4f585c0745977eabae39c67d53a669b9080c3b833f384318da94bf1da68,제4차 남북적십자회담 합의서(2002.9.8),2002-09-08,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=103,H-031.hwp,False,
agreement:c7e7a44969c39ed382cbd6e6d37dad5111e79f1b4da3c4aa57761c5556f26e3d,제14회 부산아시아경기대회 북한선수단참가를 위한 남북실무접촉 합의서(2002.8.28),2002-08-28,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=52,H-039.hwp,False,
